user_id,text,class,created_at,timezone,coordinates,place
150750860,"Order a celeb boutique dress, half of me can hardly breathe in it, other half is about 3 sizes too big.. poor sizing can't win 😩",0,2017-01-27T12:18:01.000Z,London,,United Kingdom
294735894,Ordnance Survey's Nigel Clifford talking about how they used #GIS to see if lampposts were tall enough for air pollution monitors #EsriAC,0,2017-05-16T09:03:14.000Z,London,,United Kingdom
1394412114,Our First-Mile shipping service with @wing_eu reduces air pollution from outbound shipments from cities. @Costingtheearth #cyclelogistics,0,2017-03-07T16:04:22.000Z,,,United Kingdom
20319407,"Our buses have been taken on by a new service, I'm on one of the new buses and all I can smell is paint fumes. 😯 #thatnewsmelll",0,2017-04-01T10:52:54.000Z,London,,United Kingdom
269056773,Our new managers first training session tonight. Will be like a mini pre-season. Going to be puffing out my arse!,0,2017-03-09T16:18:44.000Z,,,United Kingdom
173818637,Out for a walk in the nice weather to help break in a new corset..  expect much wheezing by time I get back xD,0,2017-04-02T13:45:33.000Z,Edinburgh,,United Kingdom
878511284,Over the last 2 years Alfie has screamed having his inhaler. Tonight he has held it to his face himself and counted to 10! #proudmum,0,2017-02-28T18:19:48.000Z,Pacific Time (US & Canada),,United Kingdom
237084450,Over the past three hours I've quickly deteriorated and canny breathe without coughing and can't taste a thing 🙂🙂🙂🙂,1,2017-02-20T00:26:23.000Z,Edinburgh,,United Kingdom
50980917,"Overheard shopping: Her ""what dish washing liquid shall we get?"" Him (clearly v fed up) ""petrol fumes and camel dung"" Get to it @sainsburys",0,2017-03-04T16:20:38.000Z,Dublin,,United Kingdom
117204420,Ow the lovely #London air pollution stinging my eyes again. @MayorofLondon why no action on this?,1,2017-03-29T04:47:12.000Z,London,,United Kingdom
3386006841,"PA on a wobble, and asthma attack mid set= hard work #giglife  😩",1,2017-05-13T23:25:39.000Z,,,United Kingdom
542564560,"PDA in nightclubs should be illegal, poor girl cannot breathe 😂😂",0,2017-05-13T23:30:39.000Z,London,,United Kingdom
164074428,PHEW AND BREATHE! Tranmere didn't make that hard for themselves. Can't bare anymore of that in the last 9 games. Massive 3pts! #SWA,0,2017-03-25T16:57:07.000Z,London,,United Kingdom
821004030143041537,PUFFING IT OUT THE WINDOW AND IT REALLY DOES HONK 5 DOORS AWAY,0,2017-01-31T11:05:23.000Z,,,United Kingdom
202800122,Packed my hand luggage beautifully. Everything compressed in dry sacks! Forgot about my inhaler -_- Cue security undoing everything. Doh!,0,2017-02-13T14:32:09.000Z,London,,United Kingdom
71625376,Paint &amp; bleach fumes not good need fresh air before bed xxx,0,2017-02-16T21:25:28.000Z,Edinburgh,,United Kingdom
884930558,Paint fumes are underestimated... am high as a fucking kite,0,2017-02-22T10:06:50.000Z,London,,United Kingdom
1635891631,Panting ALL DAY and I miss my little baby girl so much :(,0,2017-02-11T21:07:05.000Z,Amsterdam,,United Kingdom
755770908837552128,"Panting like a dog from sprinting from one platform to another, up and down a shit load of stairs and throwing myself threw the train doors😩",0,2017-03-10T17:47:15.000Z,,,United Kingdom
41653767,Pea souper @ Ferrybridge,0,2017-02-06T06:07:09.000Z,,,United Kingdom
426747013,Peep Show is so funny I'm wheezing,1,2017-04-09T23:39:39.000Z,Casablanca,,United Kingdom
414227565,People can't breathe these days without people getting triggered,0,2017-02-17T16:35:16.000Z,London,,United Kingdom
83344245,People having windows open at this time is making my eyes sore! Hayfever central at work. Not about these puffy eyes,1,2017-05-03T07:45:51.000Z,Amsterdam,,United Kingdom
16246945,People holding their breath on platform fumes so bad @EMTrains @StPancrasInt,0,2017-04-03T09:08:47.000Z,London,,United Kingdom
479358594,"People in my lecture are laughing at me using my nasal inhaler, time to go home I think🤧",1,2017-02-23T10:29:30.000Z,,,United Kingdom
438568206,People on my tl have a thing for tae's feet im wheezing dnsksksknh,0,2017-03-16T13:38:18.000Z,Beijing,,United Kingdom
702953733488025604,People that wheeze when they laugh absolutely kill me 😩😂😂😂😂,0,2017-05-17T19:07:32.000Z,,,United Kingdom
562017666,"Perhaps central London should ban all cars &amp; thus solve terrorist &amp; air pollution at a stroke?

  #c4news",0,2017-03-23T19:16:41.000Z,,,United Kingdom
777936830,Peter Kay's car share I can't breathe😂😭,0,2017-04-11T20:31:29.000Z,Amsterdam,,United Kingdom
2537511527,Phil Jones needed an inhaler....,0,2017-03-16T21:34:37.000Z,,,United Kingdom
2517439427,Physically cannot breathe with this cold,1,2017-02-19T21:44:39.000Z,,,United Kingdom
43087861,"Physically looking at any image of Uraraka Ochako makes me start wheezing, drop to the floor and clutch my chest in pain SHE IS TOO PURE",0,2017-04-29T21:01:23.000Z,London,,United Kingdom
1608163446,"Physically: thorat is so swollen I can't breathe and everything hurts
Mentally: yesterday's assessment has now sent me spiralling ha ha no",1,2017-02-21T19:00:01.000Z,London,,United Kingdom
3397421878,"Picture May as Head Prefect of a Grammar School in the 60s, beating naughty girls on the bum 
with her plimsoll &amp;
panting with excitement",0,2017-04-22T14:03:41.000Z,Pacific Time (US & Canada),,United Kingdom
1654796654,Pigeon power being used to map air pollution. Small sensors show air quality &amp; how pollution moves.Can be used for better planning decisions,0,2017-03-07T06:57:20.000Z,,,United Kingdom
18715745,Plaid Penarth the green voice for Penarth working with FOE to highlight harmful levels of air pollution in Cogan,0,2017-02-09T14:46:21.000Z,London,,United Kingdom
157457277,Played first 5-a-side in about a year for @CastleNewnham last night; we won but shouldve taken inhaler still struggling 😤 @MrMaund44 @CN_PE,1,2017-02-04T16:17:16.000Z,London,,United Kingdom
134206294,Played football for the first time in AGES and I feel like I'm gonna have an asthma attack #bigtime,1,2017-02-01T16:51:57.000Z,London,,United Kingdom
19509514,"Please @SadiqKhan do something about LDN air pollution. My night time allergies have never been this bad, and in the winter too.",1,2017-02-16T07:38:16.000Z,London,,United Kingdom
44400953,Please can someone bring me a cup of tea? I'm gasping and @lewisjj99 won't because he's a fanny,0,2017-03-16T15:31:57.000Z,London,,United Kingdom
434380539,Please don't smoke if you have asthma omg. It's like you're begging for COPD which is a nasty disease that kills.. #GPsBehindClosedDoors,0,2017-05-18T00:50:43.000Z,London,,United Kingdom
1540883040,"Please, Ben? 

Smog is real",0,2017-05-05T15:43:11.000Z,Eastern Time (US & Canada),,United Kingdom
2214538592,Plenty of #Health benefits in raw #onions  Relief #cough #colds #asthma    @hoteltim @Kushcooks @PNH_Hotelier @Benaresofficial @atulkochhar,0,2017-03-01T11:52:26.000Z,,,United Kingdom
297457045,Pointless 5am get up 🙄pulled my lat in round 2. Fumes.,0,2017-04-25T07:04:10.000Z,London,,United Kingdom
377510802,Pollution now and air quality. Burham wants to link all ten boroughs with world class cycle system to get people out of cars.,0,2017-03-15T11:34:57.000Z,Casablanca,,United Kingdom
